date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-06-30,Maharashtra,Dhule,PM10,58,Satisfactory,PM10
2026-06-30,Maharashtra,Dombivli,NO2,18,Good,NO2
2026-06-30,Rajasthan,Dungarpur,PM10,72,Satisfactory,PM10
2026-06-30,West Bengal,Durgapur,PM10,54,Satisfactory,PM10
2026-06-30,Andhra Pradesh,Eluru,PM2.5,54,Satisfactory,PM2.5
2026-06-30,Haryana,Faridabad,PM2.5 PM10,199,Moderate,PM2.5
2026-06-30,Haryana,Fatehabad,PM10,183,Moderate,PM10
2026-06-30,Uttar Pradesh,Firozabad,PM10,55,Satisfactory,PM10
2026-06-30,Karnataka,Gadag,PM2.5,32,Good,PM2.5
2026-06-30,Gujarat,Gandhinagar,PM10 NO2,81,Satisfactory,PM10
2026-06-30,Bihar,Gaya,PM2.5 PM10,96,Satisfactory,PM2.5
2026-06-30,Uttar Pradesh,Ghaziabad,PM2.5 PM10,213,Poor,PM2.5
2026-06-30,Uttar Pradesh,Gorakhpur,PM10,61,Satisfactory,PM10
2026-06-30,Uttar Pradesh,Greater Noida,PM10,167,Moderate,PM10
2026-06-30,Tamil Nadu,Gummidipoondi,PM10,99,Satisfactory,PM10
2026-06-30,Andhra Pradesh,Guntur,PM10,73,Satisfactory,PM10
2026-06-30,Haryana,Gurugram,PM2.5,249,Poor,PM2.5
2026-06-30,Assam,Guwahati,SO2,48,Good,SO2
2026-06-30,Madhya Pradesh,Gwalior,PM10,95,Satisfactory,PM10
2026-06-30,Bihar,Hajipur,PM10,85,Satisfactory,PM10
2026-06-30,West Bengal,Haldia,PM10,45,Good,PM10
2026-06-30,Rajasthan,Hanumangarh,PM10,143,Moderate,PM10
2026-06-30,Uttar Pradesh,Hapur,PM10,150,Moderate,PM10
2026-06-30,Maharashtra,Hingoli,O3,33,Good,O3
2026-06-30,Haryana,Hisar,PM10,196,Moderate,PM10
2026-06-30,West Bengal,Howrah,PM10,60,Satisfactory,PM10
2026-06-30,Karnataka,Hubballi,PM10,45,Good,PM10
2026-06-30,Telangana,Hyderabad,PM10,51,Satisfactory,PM10
2026-06-30,Madhya Pradesh,Indore,PM10 NO2 CO,58,Satisfactory,PM10
2026-06-30,Madhya Pradesh,Jabalpur,PM10 CO,44,Good,PM10
2026-06-30,Rajasthan,Jaipur,PM10,108,Moderate,PM10
2026-06-30,Rajasthan,Jaisalmer,PM10,182,Moderate,PM10
2026-06-30,Punjab,Jalandhar,PM10,77,Satisfactory,PM10
2026-06-30,Maharashtra,Jalgaon,O3,31,Good,O3
2026-06-30,Maharashtra,Jalna,CO,68,Satisfactory,CO
2026-06-30,Rajasthan,Jalore,PM10,75,Satisfactory,PM10
2026-06-30,Rajasthan,Jhalawar,PM10,50,Good,PM10
2026-06-30,Uttar Pradesh,Jhansi,PM10,44,Good,PM10
2026-06-30,Rajasthan,Jhunjhunu,PM10,108,Moderate,PM10
2026-06-30,Haryana,Jind,PM2.5,207,Poor,PM2.5
2026-06-30,Rajasthan,Jodhpur,PM10,79,Satisfactory,PM10
2026-06-30,Jharkhand,Jorapokhar,PM10,70,Satisfactory,PM10
2026-06-30,Haryana,Kaithal,PM2.5,156,Moderate,PM2.5
2026-06-30,Karnataka,Kalaburagi,CO,33,Good,CO
2026-06-30,Maharashtra,Kalyan,CO,64,Satisfactory,CO
2026-06-30,Kerala,Kannur,PM10,52,Satisfactory,PM10
2026-06-30,Uttar Pradesh,Kanpur,PM10 CO,50,Good,PM10
2026-06-30,Haryana,Karnal,PM2.5,306,Very Poor,PM2.5
2026-06-30,Uttarakhand,Kashipur,PM2.5,46,Good,PM2.5
2026-06-30,Bihar,Katihar,CO,71,Satisfactory,CO
2026-06-30,Madhya Pradesh,Katni,O3,43,Good,O3
2026-06-30,Odisha,Keonjhar,CO,35,Good,CO
2026-06-30,Rajasthan,Khairthal,PM10,102,Moderate,PM10
2026-06-30,Punjab,Khanna,PM10,86,Satisfactory,PM10
2026-06-30,Uttar Pradesh,Khora,PM2.5,128,Moderate,PM2.5
